ID;BUURT;CRIMES_2010;CRIMES_2011;CRIMES_2012;CRIMES_2013;CRIMES_2014;SAFETY_RATE_2014;CRIME_RATE_2014;GP_2013;GP_2014;GP_2015;PHARM_2014;PHARM_2015;RECR_TERR_2015;AGRI_TERR_2015;POP_2015;%NON-WEST_2015;%65PLUS_2015;%FAM_KIDS_2015;POP_2020;HOUS_2015;AVG_OCC_2015;AVG_SIZE_2015;AVG_HOUS_2015;%OWN_OCC_2015;AVG_LENGTH_STAY_2015;%LOW_INC_HOUS_2012;AVG_DISP_INC_2012;POP_0-3_2015;POP_4-12_2015;POP_13-17_2015;POP_18-22_2015;POP_23-24_2015;POP_25-49_2015;POP_50-64_2015;POP_65_2015;SURIN_2015;ANTIL_2015;TURK_2015;MAROK_2015;NON_WEST_IMM_2015;WEST_IMM_2015;AUTOCH_2015;LESS_1_RES_2015;TIME_1-4_RES_2015;TIME_5-9_RES_2015;TIME_10-14_RES_2015;TIME_15-19_RES_2015;TIME_20-24_RES_2015;PLUS_25_RES_2015;BIRTH_2010;BIRTH_2011;BIRTH_2012;BIRTH_2013;BIRTH_2014;DEATH_2010;DEATH_2011;DEATH_2012;DEATH_2013;DEATH_2014;BUSIN_2011;BUSIN_2012;BUSIN_2013;BUSIN_2014;BUSIN_2015;EMPLOY_2011;EMPLOY_2012;EMPLOY_2013;EMPLOY_2014;EMPLOY_2015;UNEMP_BEN_15-34_2015;UNEMP_BEN_35-54_2015;UNEMP_BEN_55-65_2015;SCHOOLS_2015;PROP_VALUE_*1000_2011;PROP_VALUE_*1000_2012;PROP_VALUE_*1000_2013;PROP_VALUE_*1000_2014;PROP_VALUE_*1000_2015;HOUSE_FOREC_2015;HOUSE_FOREC_2020;HOUSE_FOREC_2025;HOUSE_FOREC_2030;HOUSE_FOREC_2035;TOT_INHAB_ADD_2015;;;;;
B10;Westelijk Havengebied;484;714;732;426;385;93;89;0;0;0;1;0;67.50;7.84;194;7,2;9,3;11,0;228;43;4,51;4,3;186;14,0;8,0;0;1165;3;9;2;12;4;89;57;18;3;0;1;0;14;56;124;15;42;38;14;24;10;51;4;1;2;1;2;2;1;2;1;1;1001;1036;1083;1170;1165;18549;19151;18280;18140;18784;0;0;0;0;0;0;0;0;0;43;46;46;46;46;55;;;;;
B11;Bedrijventerrein Sloterdijk;1080;990;1165;1258;1065;93;89;0;0;0;0;0;21.08;27.30;213;27,7;7,0;6,3;190;61;3,49;3,9;0;0;3,1;0;1385;6;0;1;14;9;139;29;15;17;0;4;9;59;72;82;59;66;41;10;7;10;20;0;1;1;0;4;1;2;3;3;0;1268;1268;1279;1281;1385;28936;29627;28990;28964;27633;0;0;0;0;0;0;0;0;0;61;61;61;61;61;48;;;;;
E12;Houthavens;166;144;104;123;88;93;89;0;0;0;0;0;4.75;0,00;1602;15,5;5,8;5,8;3273;1041;1,54;1,7;167;18,0;3,2;40,0;242;31;42;17;446;250;517;206;93;34;33;14;17;249;416;937;402;556;184;111;64;92;193;12;9;10;10;6;0;1;1;1;2;231;234;246;229;242;489;465;468;456;510;0;20;0;2;167;165;172;164;167;1041;2099;2729;3316;3316;1051;;;;;
E13;Spaarndammer- en Zeeheldenbuurt;1039;1069;1058;1036;1054;93;89;8;7;4;1;1;42.68;3.09;10761;31,3;10,6;21,9;11114;6013;1,79;2,8;210;20,3;8,5;36,2;1413;514;798;359;531;305;5067;2042;1145;916;148;261;888;3371;1764;5626;718;2030;1842;1100;962;841;3268;155;145;153;163;149;90;78;85;85;73;1119;1208;1250;1354;1413;3412;3682;3557;3482;3571;70;170;60;2;215;223;217;207;210;6013;6191;6241;6241;6241;5802;;;;;
E14;Staatsliedenbuurt;932;922;784;819;802;85;77;10;10;9;1;1;0.08;0,00;13056;24,1;8,0;19,0;13565;7819;1,67;2,6;222;30,2;8,0;31,9;1846;598;869;438;536;360;6871;2336;1048;604;117;247;883;3141;2591;7324;999;2584;2316;1493;1186;1028;3450;196;189;184;173;171;47;48;44;62;57;1410;1526;1627;1742;1846;2323;2469;2578;2693;2863;80;230;100;2;229;226;215;210;222;7819;8027;8027;8027;8027;7439;;;;;
E15;Centrale Markt;342;381;340;320;345;97;100;0;0;0;0;0;0.54;0,00;2535;26,8;9,5;33,1;2934;1197;2,12;3,1;267;37,2;9,6;25,0;438;89;215;191;166;63;907;664;239;128;22;52;234;680;429;1425;118;301;350;261;353;251;900;33;34;26;42;21;9;7;10;16;8;424;409;413;419;438;2629;2633;2647;2709;2668;10;50;20;0;288;282;266;260;267;1197;1397;1897;2197;2397;1205;;;;;
E16;Frederik Hendrikbuurt;600;608;561;582;580;97;100;2;2;1;2;2;3.39;0,00;8377;20,6;10,0;16,3;8346;5043;1,66;2,6;229;28,6;8,3;34,8;1190;377;442;202;408;254;4366;1487;841;271;87;151;499;1724;1679;4974;670;1793;1490;870;668;562;2324;119;125;117;125;132;82;77;83;80;85;1013;1049;1030;1119;1190;1908;1884;1782;1884;2098;50;120;60;1;243;241;228;221;229;5043;5043;5043;5043;5043;4833;;;;;
E17;Da Costabuurt;594;596;626;625;626;110;113;5;6;6;1;1;0.82;0,00;4661;14,3;10,8;17,1;4779;2634;1,77;3,0;267;32,2;8,8;30,8;821;218;247;105;251;168;2390;779;503;126;52;47;137;668;1071;2922;392;1098;834;456;356;303;1222;69;65;71;61;76;24;25;19;15;24;686;695;738;779;821;1506;1541;1623;1566;1551;30;70;30;1;278;282;274;266;267;2634;2637;2637;2637;2637;2533;;;;;
E18;Kinkerbuurt;571;545;587;526;517;97;88;2;1;1;0;0;0.62;0,00;6208;25,8;7,1;13,6;6870;3407;1,82;2,6;225;24,2;7,1;32,3;946;249;293;137;368;294;3452;975;440;352;82;202;442;1601;1138;3469;684;1699;1016;594;462;368;1385;64;84;82;73;77;22;18;24;26;11;758;788;836;872;946;1265;1331;1652;1556;1713;40;80;40;2;220;233;224;218;225;3407;3787;3787;3787;3787;3202;;;;;
E19;Van Lennepbuurt;722;707;695;594;643;102;95;5;6;4;0;2;0,00;0,00;7131;29,4;11,5;15,8;7263;4452;1,60;2,4;211;22,2;8,8;40,0;902;283;367;199;366;289;3438;1369;820;428;57;240;642;2096;1331;3704;507;1449;1229;702;555;502;2187;68;106;91;76;90;54;39;59;41;48;741;801;860;882;902;1410;1511;1594;1551;1584;40;100;50;2;226;230;221;211;211;4452;4477;4477;4477;4477;4287;;;;;
